Barack Obama,Charlie Crist,0.76661
Barack Obama,Chris Christie,0.78920
Barack Obama,Dan Patrick,0.79083
Barack Obama,Donald Trump,0.73087
Barack Obama,Hillary Clinton,0.75792
Barack Obama,Jeb Bush,0.76436
Barack Obama,Mitt Romney,0.79856
Barack Obama,Nathan Deal,0.89515
Barack Obama,Rick Perry,0.80066
Barack Obama,Rick Scott,0.87844
Barack Obama,Scott Walker,0.75364
Barack Obama,Tim Kaine,0.71345
Barack Obama,Tony Evers,0.75740
Barack Obama,Wendy Davis,0.67932
Charlie Crist,Chris Christie,0.79170
Charlie Crist,Dan Patrick,0.90189
Charlie Crist,Donald Trump,0.94691
Charlie Crist,Hillary Clinton,0.84128
Charlie Crist,Jeb Bush,0.83376
Charlie Crist,Mitt Romney,0.80434
Charlie Crist,Nathan Deal,0.77914
Charlie Crist,Rick Perry,0.79279
Charlie Crist,Rick Scott,0.74038
Charlie Crist,Scott Walker,0.83277
Charlie Crist,Tim Kaine,0.83821
Charlie Crist,Tony Evers,0.71281
Charlie Crist,Wendy Davis,0.80777
Chris Christie,Dan Patrick,0.83365
Chris Christie,Donald Trump,0.74536
Chris Christie,Hillary Clinton,0.84226
Chris Christie,Jeb Bush,0.79557
Chris Christie,Mitt Romney,0.79790
Chris Christie,Nathan Deal,0.78353
Chris Christie,Rick Perry,0.80330
Chris Christie,Rick Scott,0.71597
Chris Christie,Scott Walker,0.88484
Chris Christie,Tim Kaine,0.77384
Chris Christie,Tony Evers,0.74307
Chris Christie,Wendy Davis,0.73684
Dan Patrick,Donald Trump,0.74599
Dan Patrick,Hillary Clinton,0.81070
Dan Patrick,Jeb Bush,0.87094
Dan Patrick,Mitt Romney,0.88243
Dan Patrick,Nathan Deal,0.81335
Dan Patrick,Rick Perry,0.82909
Dan Patrick,Rick Scott,0.79369
Dan Patrick,Scott Walker,0.86599
Dan Patrick,Tim Kaine,0.81676
Dan Patrick,Tony Evers,0.76360
Dan Patrick,Wendy Davis,0.83701
Donald Trump,Hillary Clinton,0.72188
Donald Trump,Jeb Bush,0.69624
Donald Trump,Mitt Romney,0.84391
Donald Trump,Nathan Deal,0.76800
Donald Trump,Rick Perry,0.72430
Donald Trump,Rick Scott,0.71230
Donald Trump,Scott Walker,0.74712
Donald Trump,Tim Kaine,0.91139
Donald Trump,Tony Evers,0.78939
Donald Trump,Wendy Davis,0.86154
Hillary Clinton,Jeb Bush,0.80301
Hillary Clinton,Mitt Romney,0.77955
Hillary Clinton,Nathan Deal,0.74574
Hillary Clinton,Rick Perry,0.81042
Hillary Clinton,Rick Scott,0.70074
Hillary Clinton,Scott Walker,0.85339
Hillary Clinton,Tim Kaine,0.88663
Hillary Clinton,Tony Evers,0.67852
Hillary Clinton,Wendy Davis,0.79107
Jeb Bush,Mitt Romney,0.90622
Jeb Bush,Nathan Deal,0.74578
Jeb Bush,Rick Perry,0.83106
Jeb Bush,Rick Scott,0.73381
Jeb Bush,Scott Walker,0.81786
Jeb Bush,Tim Kaine,0.80904
Jeb Bush,Tony Evers,0.73662
Jeb Bush,Wendy Davis,0.82521
Mitt Romney,Nathan Deal,0.77296
Mitt Romney,Rick Perry,0.88243
Mitt Romney,Rick Scott,0.76836
Mitt Romney,Scott Walker,0.79029
Mitt Romney,Tim Kaine,0.79538
Mitt Romney,Tony Evers,0.83442
Mitt Romney,Wendy Davis,0.78194
Nathan Deal,Rick Perry,0.75300
Nathan Deal,Rick Scott,0.85580
Nathan Deal,Scott Walker,0.76200
Nathan Deal,Tim Kaine,0.70627
Nathan Deal,Tony Evers,0.74948
Nathan Deal,Wendy Davis,0.67185
Rick Perry,Rick Scott,0.76448
Rick Perry,Scott Walker,0.77204
Rick Perry,Tim Kaine,0.93925
Rick Perry,Tony Evers,0.85608
Rick Perry,Wendy Davis,0.96055
Rick Scott,Scott Walker,0.70235
Rick Scott,Tim Kaine,0.68004
Rick Scott,Tony Evers,0.73312
Rick Scott,Wendy Davis,0.65151
Scott Walker,Tim Kaine,0.79383
Scott Walker,Tony Evers,0.71873
Scott Walker,Wendy Davis,0.77952
Tim Kaine,Tony Evers,0.69231
Tim Kaine,Wendy Davis,0.92512
Tony Evers,Wendy Davis,0.68049
